c ,From,To,Modes,length,time,Type,Lanes,VDF,Data1,Data2,Data3
,193645,195171,apb,0.021212,0.052592,107,1.0,25,24.200,2200.0,0.0000
,193645,195174,apb,0.054792,0.137553,107,1.0,29,23.900,2200.0,0.0000
,193647,194556,apb,0.065458,0.062046,105,3.0,15,63.300,6600.0,0.0000
,193648,194552,apb,0.256322,0.160201,102,5.0,7,96.000,11000,0.0000
,193649,193648,apb,0.216305,0.135191,102,5.0,7,96.000,11000,0.0000
,193649,551957,apb,0.026173,0.034897,108,1.0,33,45.000,2200.0,0.0000
,193650,194551,apb,0.181590,0.242120,108,2.0,33,45.000,4400.0,0.0000
,193650,194566,apb,0.203785,0.193161,105,3.0,15,63.300,6600.0,0.0000
,193651,193945,apb,0.404129,0.538839,108,2.0,33,45.000,4400.0,0.0000
,193651,194554,apb,0.183069,0.120971,102,4.0,7,90.800,8800.0,0.0000
,193652,194010,apb,1.819844,1.202540,102,4.0,7,90.800,8800.0,0.0000
,193696,194009,apb,0.050881,0.128271,107,1.0,29,23.800,2200.0,0.0000
,193696,194510,apb,0.031962,0.080576,107,1.0,29,23.800,2200.0,0.0000
,193696,194511,apb,0.015203,0.038167,107,1.0,29,23.900,2200.0,0.0000
,193697,193947,apb,0.196389,0.324610,107,1.0,13,36.300,2200.0,0.0000
,193697,193950,apb,0.266282,0.660203,107,1.0,25,24.200,2200.0,0.0000
,193697,193976,apb,0.060018,0.151306,107,1.0,29,23.800,2200.0,0.0000
,193697,195131,apb,0.130292,0.323038,107,1.0,25,24.200,2200.0,0.0000
,193702,194144,apb,0.215362,0.542929,107,1.0,29,23.800,2200.0,0.0000
,193702,194585,apb,0.038841,0.097509,107,1.0,29,23.900,2200.0,0.0000
,193715,193702,apb,0.083158,0.208765,107,1.0,29,23.900,2200.0,0.0000
,193715,193946,apb,0.056225,0.053294,105,4.0,15,63.300,8800.0,0.0000
,193715,195146,apb,0.081909,0.082046,105,4.0,15,59.900,8800.0,0.0000
,193793,195050,apb,0.125362,0.125572,105,4.0,15,59.900,8800.0,0.0000
,193793,195145,apb,0.045657,0.043277,105,4.0,15,63.300,8800.0,0.0000
,193840,194145,apb,0.009265,0.023259,107,1.0,29,23.900,2200.0,0.0000
,193840,195000,apb,0.038376,0.096746,107,1.0,29,23.800,2200.0,0.0000
,193841,194979,apb,0.082952,0.208248,107,1.0,29,23.900,2200.0,0.0000
,193841,195000,apb,0.008195,0.020660,107,1.0,29,23.800,2200.0,0.0000
,193945,193946,apb,0.064022,0.064130,105,3.0,15,59.900,6600.0,0.0000
,193946,193650,apb,0.067509,0.063990,105,4.0,15,63.300,8800.0,0.0000
,193946,193715,apb,0.056225,0.056319,105,4.0,15,59.900,8800.0,0.0000
,193947,193697,apb,0.196389,0.324610,107,1.0,13,36.300,2200.0,0.0000
,193947,193949,apb,0.160528,0.265336,107,1.0,13,36.300,2200.0,0.0000
,193947,230679,apb,0.074134,0.122874,107,1.0,13,36.200,2200.0,0.0000
,193949,193947,apb,0.160528,0.265336,107,1.0,13,36.300,2200.0,0.0000
,193949,193950,apb,0.116951,0.289961,107,1.0,25,24.200,2200.0,0.0000
,193950,193697,apb,0.266282,0.660203,107,1.0,25,24.200,2200.0,0.0000
,193950,193949,apb,0.116951,0.289961,107,1.0,25,24.200,2200.0,0.0000
,193950,194430,apb,0.250553,0.621206,107,1.0,25,24.200,2200.0,0.0000
,193953,193955,apb,0.114884,0.119672,105,4.0,15,57.600,8800.0,0.0000
,193953,195303,apb,0.143665,0.134478,105,4.0,15,64.100,8800.0,0.0000
,193954,193953,apb,0.082893,0.137392,107,1.0,13,36.200,2200.0,0.0000
,193954,193962,apb,0.197624,0.498212,107,1.0,29,23.800,2200.0,0.0000
,193955,193953,apb,0.114884,0.107538,105,4.0,15,64.100,8800.0,0.0000
,193955,193954,apb,0.068229,0.172006,107,1.0,29,23.800,2200.0,0.0000
,193955,195243,apb,0.223923,0.233256,105,4.0,15,57.600,8800.0,0.0000
,193956,193961,apb,0.078074,0.109450,107,2.0,23,42.800,4400.0,0.0000
,193956,193964,apb,0.007855,0.011012,107,2.0,23,42.800,4400.0,0.0000
,193957,193961,apb,0.143272,0.200849,107,2.0,23,42.800,4400.0,0.0000
,193957,195004,apb,0.085541,0.212085,107,1.0,25,24.200,2200.0,0.0000
,193957,230301,apb,0.183946,0.286669,107,2.0,27,38.500,4400.0,0.0000
,193957,230932,apb,0.117885,0.165259,107,2.0,23,42.800,4400.0,0.0000
,193958,193965,apb,0.022593,0.031672,107,2.0,23,42.800,4400.0,0.0000
,193958,194353,apb,0.035556,0.037038,105,4.0,15,57.600,8800.0,0.0000
,193958,195304,apb,0.028314,0.045424,107,3.0,31,37.400,6600.0,0.0000
,193958,195305,apb,0.034542,0.032333,105,4.0,15,64.100,8800.0,0.0000
,193960,195420,apb,0.010426,0.010861,105,4.0,15,57.600,8800.0,0.0000
,193960,552029,apb,0.016451,0.015399,105,4.0,15,64.100,8800.0,0.0000
,193961,193956,apb,0.078074,0.109450,107,2.0,23,42.800,4400.0,0.0000
,193961,193957,apb,0.143272,0.200849,107,2.0,23,42.800,4400.0,0.0000
,193962,193954,apb,0.197624,0.498212,107,1.0,29,23.800,2200.0,0.0000
,193962,231142,apb,0.066150,0.166067,107,1.0,29,23.900,2200.0,0.0000
,193963,195305,apb,0.006492,0.006763,105,4.0,15,57.600,8800.0,0.0000
